"","scale","shape","type","bucket"
"1",357.882749436955,0.814071494758548,1,"0000"
"2",267.194874436082,1.08953256982629,1,"0001"
"3",278.357135080194,1.22928711380495,1,"0010"
"4",228.872452468356,1.4470746595373,1,"0011"
"5",371.990027818819,0.762484106243905,1,"0100"
"6",360.872332363633,0.784144285035259,1,"0101"
"7",412.713994653898,0.8130162923378,1,"0110"
"8",223.580848277216,1.40002690400677,1,"0111"
"9",238.821756911292,1.32735612811711,1,"1000"
"10",222.053982022959,1.47193688486758,1,"1001"
"11",272.295047741647,1.35785296847328,1,"1010"
"12",250.912331791187,1.50178883947502,1,"1011"
"13",290.910221528378,1.07405763562798,1,"1100"
"14",246.060175328758,1.27674834837343,1,"1101"
"15",334.510154383817,1.06829301977596,1,"1110"
"16",306.693950229966,1.16726389212901,1,"1111"
"17",7095.72241180561,1.16246381954784,2,"0000"
"18",6654.12474932867,1.0486383218106,2,"0001"
"19",8551.4715982075,1.10607678322723,2,"0010"
"20",9267.0620629466,0.797910530139055,2,"0011"
"21",13006.7442216529,0.713709317637823,2,"0100"
"22",9484.67674841313,0.770569281007651,2,"0101"
"23",15207.4411932608,0.755216926458569,2,"0110"
"24",14580.7156014139,0.613496766614834,2,"0111"
"25",6386.20154663796,1.10804639435744,2,"1000"
"26",4899.32093899492,1.23633959796812,2,"1001"
"27",6362.00541348844,1.21348867083449,2,"1010"
"28",5191.34659239049,1.20120549537833,2,"1011"
"29",10705.3780260253,0.752025547528108,2,"1100"
"30",8078.65310367552,0.825333492886209,2,"1101"
"31",11622.5623248316,0.805833310654889,2,"1110"
"32",12170.1505855531,0.631397653149604,2,"1111"
"33",289.329642358169,0.332475266023632,3,"0000"
"34",189.550624408642,0.469379172951446,3,"0001"
"35",247.972028226089,0.389455375942591,3,"0010"
"36",184.749561461634,0.587375262927051,3,"0011"
"37",284.791839008854,0.350401599325981,3,"0100"
"38",271.59165514246,0.353949612387105,3,"0101"
"39",271.968538861727,0.373582373693047,3,"0110"
"40",223.071833438481,0.504786837371164,3,"0111"
"41",204.253013111272,0.453650588919792,3,"1000"
"42",163.290375844427,0.542874569581345,3,"1001"
"43",206.809436641151,0.45459018791721,3,"1010"
"44",179.110547879,0.58432408696906,3,"1011"
"45",275.095679093552,0.369760372098214,3,"1100"
"46",249.333452647216,0.393214885400028,3,"1101"
"47",280.500750049694,0.369157815775445,3,"1110"
"48",232.883491909583,0.494121526967536,3,"1111"
