patient_type_notol,notol_count,bucket,notol_bucket_count,notol_bucket_prop,type,dual-eligible,race,gender,age
EM,176580,0.0,7431.5,0.0420857401744252,0.0,0.0,0.0,0.0,0.0
EM,176580,1000.0,8172.0,0.0462793068297655,1.0,0.0,0.0,0.0,1.0
EM,176580,100.0,4897.5,0.0277353041114509,2.0,0.0,0.0,1.0,0.0
EM,176580,1100.0,4277.5,0.0242241476950957,3.0,0.0,0.0,1.0,1.0
EM,176580,10.0,15187.0,0.0860063427341715,4.0,0.0,1.0,0.0,0.0
EM,176580,1010.0,35652.5,0.20190565182919898,5.0,0.0,1.0,0.0,1.0
EM,176580,110.0,12720.0,0.07203533809038401,6.0,0.0,1.0,1.0,0.0
EM,176580,1110.0,21675.0,0.12274889568467601,7.0,0.0,1.0,1.0,1.0
EM,176580,1.0,9192.5,0.052058557027976,8.0,1.0,0.0,0.0,0.0
EM,176580,1001.0,16899.5,0.0957044965454751,9.0,1.0,0.0,0.0,1.0
EM,176580,101.0,4482.0,0.0253822629969419,10.0,1.0,0.0,1.0,0.0
EM,176580,1101.0,6332.5,0.0358619322686601,11.0,1.0,0.0,1.0,1.0
EM,176580,11.0,6346.0,0.0359383848680485,12.0,1.0,1.0,0.0,0.0
EM,176580,1011.0,12790.0,0.0724317589761015,13.0,1.0,1.0,0.0,1.0
EM,176580,111.0,4021.0,0.0227715483067165,14.0,1.0,1.0,1.0,0.0
EM,176580,1111.0,6293.5,0.0356410692037603,15.0,1.0,1.0,1.0,1.0
EM,176580,,210.0,0.00118926265715257,,,,,
ER,4560,0.0,97.0,0.0212719298245614,0.0,0.0,0.0,0.0,0.0
ER,4560,1000.0,138.0,0.0302631578947368,1.0,0.0,0.0,0.0,1.0
ER,4560,100.0,80.0,0.0175438596491228,2.0,0.0,0.0,1.0,0.0
ER,4560,1100.0,81.0,0.0177631578947368,3.0,0.0,0.0,1.0,1.0
ER,4560,10.0,25.0,0.0054824561403508795,4.0,0.0,1.0,0.0,0.0
ER,4560,1010.0,292.5,0.0641447368421053,5.0,0.0,1.0,0.0,1.0
ER,4560,110.0,35.0,0.007675438596491229,6.0,0.0,1.0,1.0,0.0
ER,4560,1110.0,119.5,0.0262061403508772,7.0,0.0,1.0,1.0,1.0
ER,4560,1.0,394.5,0.0865131578947368,8.0,1.0,0.0,0.0,0.0
ER,4560,1001.0,1289.5,0.28278508771929806,9.0,1.0,0.0,0.0,1.0
ER,4560,101.0,281.0,0.0616228070175439,10.0,1.0,0.0,1.0,0.0
ER,4560,1101.0,399.0,0.0875,11.0,1.0,0.0,1.0,1.0
ER,4560,11.0,81.0,0.0177631578947368,12.0,1.0,1.0,0.0,0.0
ER,4560,1011.0,845.5,0.18541666666666698,13.0,1.0,1.0,0.0,1.0
ER,4560,111.0,96.5,0.0211622807017544,14.0,1.0,1.0,1.0,0.0
ER,4560,1111.0,300.0,0.0657894736842105,15.0,1.0,1.0,1.0,1.0
ER,4560,,5.0,0.0010964912280701801,,,,,
Mix,72878,0.0,2768.0,0.0379812837893466,0.0,0.0,0.0,0.0,0.0
Mix,72878,1000.0,3411.0,0.0468042481956146,1.0,0.0,0.0,0.0,1.0
Mix,72878,100.0,1584.5,0.0217418150882296,2.0,0.0,0.0,1.0,0.0
Mix,72878,1100.0,1716.0,0.0235462004994649,3.0,0.0,0.0,1.0,1.0
Mix,72878,10.0,4029.5,0.0552910343313483,4.0,0.0,1.0,0.0,0.0
Mix,72878,1010.0,13931.5,0.191161941875463,5.0,0.0,1.0,0.0,1.0
Mix,72878,110.0,3322.5,0.0455898899530723,6.0,0.0,1.0,1.0,0.0
Mix,72878,1110.0,8693.5,0.11928839979143199,7.0,0.0,1.0,1.0,1.0
Mix,72878,1.0,5588.0,0.0766760888059497,8.0,1.0,0.0,0.0,0.0
Mix,72878,1001.0,10096.0,0.13853289058426402,9.0,1.0,0.0,0.0,1.0
Mix,72878,101.0,2398.5,0.0329111666072066,10.0,1.0,0.0,1.0,0.0
Mix,72878,1101.0,3043.0,0.0417547133565685,11.0,1.0,0.0,1.0,1.0
Mix,72878,11.0,2209.0,0.0303109305963391,12.0,1.0,1.0,0.0,0.0
Mix,72878,1011.0,5989.5,0.0821852959740937,13.0,1.0,1.0,0.0,1.0
Mix,72878,111.0,1382.5,0.0189700595515794,14.0,1.0,1.0,1.0,0.0
Mix,72878,1111.0,2624.0,0.0360053788523285,15.0,1.0,1.0,1.0,1.0
Mix,72878,,91.0,0.00124866214769889,,,,,
