patient_type_tol,tol_count,bucket,tol_bucket_count,tol_bucket_prop,type,dual-eligible,race,gender,age
EM,229036,0.0,9429.5,0.0411703836951396,0.0,0.0,0.0,0.0,0.0
EM,229036,1000.0,10546.5,0.0460473462687088,1.0,0.0,0.0,0.0,1.0
EM,229036,100.0,5985.0,0.0261312632075307,2.0,0.0,0.0,1.0,0.0
EM,229036,1100.0,5485.0,0.023948200282925,3.0,0.0,0.0,1.0,1.0
EM,229036,10.0,18604.5,0.0812295883616549,4.0,0.0,1.0,0.0,0.0
EM,229036,1010.0,46595.5,0.203441817006933,5.0,0.0,1.0,0.0,1.0
EM,229036,110.0,15437.5,0.0674020677972022,6.0,0.0,1.0,1.0,0.0
EM,229036,1110.0,28766.0,0.125595976178417,7.0,0.0,1.0,1.0,1.0
EM,229036,1.0,12641.0,0.0551921968598823,8.0,1.0,0.0,0.0,0.0
EM,229036,1001.0,22912.0,0.10003667545713302,9.0,1.0,0.0,0.0,1.0
EM,229036,101.0,5854.5,0.0255614837842086,10.0,1.0,0.0,1.0,0.0
EM,229036,1101.0,8177.5,0.0357039941319269,11.0,1.0,0.0,1.0,1.0
EM,229036,11.0,8100.0,0.035365619378613,12.0,1.0,1.0,0.0,0.0
EM,229036,1011.0,16942.5,0.0739730872002655,13.0,1.0,1.0,0.0,1.0
EM,229036,111.0,5069.5,0.0221340749925776,14.0,1.0,1.0,1.0,0.0
EM,229036,1111.0,8220.5,0.035891737543443,15.0,1.0,1.0,1.0,1.0
EM,229036,,269.0,0.0011744878534378901,,,,,
ER,4576,0.0,97.0,0.0211975524475524,0.0,0.0,0.0,0.0,0.0
ER,4576,1000.0,138.0,0.0301573426573427,1.0,0.0,0.0,0.0,1.0
ER,4576,100.0,80.0,0.0174825174825175,2.0,0.0,0.0,1.0,0.0
ER,4576,1100.0,81.5,0.0178103146853147,3.0,0.0,0.0,1.0,1.0
ER,4576,10.0,25.0,0.0054632867132867104,4.0,0.0,1.0,0.0,0.0
ER,4576,1010.0,293.5,0.06413898601398599,5.0,0.0,1.0,0.0,1.0
ER,4576,110.0,36.0,0.00786713286713287,6.0,0.0,1.0,1.0,0.0
ER,4576,1110.0,119.5,0.0261145104895105,7.0,0.0,1.0,1.0,1.0
ER,4576,1.0,399.5,0.0873033216783217,8.0,1.0,0.0,0.0,0.0
ER,4576,1001.0,1290.5,0.28201486013986,9.0,1.0,0.0,0.0,1.0
ER,4576,101.0,283.0,0.0618444055944056,10.0,1.0,0.0,1.0,0.0
ER,4576,1101.0,400.5,0.0875218531468532,11.0,1.0,0.0,1.0,1.0
ER,4576,11.0,82.0,0.0179195804195804,12.0,1.0,1.0,0.0,0.0
ER,4576,1011.0,847.5,0.18520541958042,13.0,1.0,1.0,0.0,1.0
ER,4576,111.0,96.5,0.0210882867132867,14.0,1.0,1.0,1.0,0.0
ER,4576,1111.0,301.0,0.06577797202797199,15.0,1.0,1.0,1.0,1.0
ER,4576,,5.0,0.0010926573426573401,,,,,
Mix,20406,0.0,770.0,0.0377339998039792,0.0,0.0,0.0,0.0,0.0
Mix,20406,1000.0,1036.5,0.0507938841517201,1.0,0.0,0.0,0.0,1.0
Mix,20406,100.0,497.0,0.0243555816916593,2.0,0.0,0.0,1.0,0.0
Mix,20406,1100.0,508.0,0.0248946388317162,3.0,0.0,0.0,1.0,1.0
Mix,20406,10.0,612.0,0.0299911790649809,4.0,0.0,1.0,0.0,0.0
Mix,20406,1010.0,2987.5,0.146403018719984,5.0,0.0,1.0,0.0,1.0
Mix,20406,110.0,604.0,0.0295991375085759,6.0,0.0,1.0,1.0,0.0
Mix,20406,1110.0,1602.5,0.0785308242673723,7.0,0.0,1.0,1.0,1.0
Mix,20406,1.0,2134.5,0.104601587768303,8.0,1.0,0.0,0.0,0.0
Mix,20406,1001.0,4082.5,0.20006370675291602,9.0,1.0,0.0,0.0,1.0
Mix,20406,101.0,1024.0,0.0501813192198373,10.0,1.0,0.0,1.0,0.0
Mix,20406,1101.0,1196.5,0.0586347152798197,11.0,1.0,0.0,1.0,1.0
Mix,20406,11.0,454.0,0.0222483583259826,12.0,1.0,1.0,0.0,0.0
Mix,20406,1011.0,1835.0,0.08992453200039201,13.0,1.0,1.0,0.0,1.0
Mix,20406,111.0,334.0,0.0163677349799079,14.0,1.0,1.0,1.0,0.0
Mix,20406,1111.0,696.0,0.0341076154072332,15.0,1.0,1.0,1.0,1.0
Mix,20406,,32.0,0.0015681662256199198,,,,,
