"","patient_type_tol","tol_count","bucket","tol_bucket_count","tol_bucket_prop"
"1","EM",229036,"0000",9429.5,0.0411703836951396
"2","EM",229036,"0001",12641,0.0551921968598823
"3","EM",229036,"0010",18604.5,0.0812295883616549
"4","EM",229036,"0011",8100,0.035365619378613
"5","EM",229036,"0100",5985,0.0261312632075307
"6","EM",229036,"0101",5854.5,0.0255614837842086
"7","EM",229036,"0110",15437.5,0.0674020677972022
"8","EM",229036,"0111",5069.5,0.0221340749925776
"9","EM",229036,"1000",10546.5,0.0460473462687088
"10","EM",229036,"1001",22912,0.100036675457133
"11","EM",229036,"1010",46595.5,0.203441817006933
"12","EM",229036,"1011",16942.5,0.0739730872002655
"13","EM",229036,"1100",5485,0.023948200282925
"14","EM",229036,"1101",8177.5,0.0357039941319269
"15","EM",229036,"1110",28766,0.125595976178417
"16","EM",229036,"1111",8220.5,0.035891737543443
"17","EM",229036,NA,269,0.00117448785343789
"18","ER",4576,"0000",97,0.0211975524475524
"19","ER",4576,"0001",399.5,0.0873033216783217
"20","ER",4576,"0010",25,0.00546328671328671
"21","ER",4576,"0011",82,0.0179195804195804
"22","ER",4576,"0100",80,0.0174825174825175
"23","ER",4576,"0101",283,0.0618444055944056
"24","ER",4576,"0110",36,0.00786713286713287
"25","ER",4576,"0111",96.5,0.0210882867132867
"26","ER",4576,"1000",138,0.0301573426573427
"27","ER",4576,"1001",1290.5,0.28201486013986
"28","ER",4576,"1010",293.5,0.064138986013986
"29","ER",4576,"1011",847.5,0.18520541958042
"30","ER",4576,"1100",81.5,0.0178103146853147
"31","ER",4576,"1101",400.5,0.0875218531468532
"32","ER",4576,"1110",119.5,0.0261145104895105
"33","ER",4576,"1111",301,0.065777972027972
"34","ER",4576,NA,5,0.00109265734265734
"35","Mix",20406,"0000",770,0.0377339998039792
"36","Mix",20406,"0001",2134.5,0.104601587768303
"37","Mix",20406,"0010",612,0.0299911790649809
"38","Mix",20406,"0011",454,0.0222483583259826
"39","Mix",20406,"0100",497,0.0243555816916593
"40","Mix",20406,"0101",1024,0.0501813192198373
"41","Mix",20406,"0110",604,0.0295991375085759
"42","Mix",20406,"0111",334,0.0163677349799079
"43","Mix",20406,"1000",1036.5,0.0507938841517201
"44","Mix",20406,"1001",4082.5,0.200063706752916
"45","Mix",20406,"1010",2987.5,0.146403018719984
"46","Mix",20406,"1011",1835,0.089924532000392
"47","Mix",20406,"1100",508,0.0248946388317162
"48","Mix",20406,"1101",1196.5,0.0586347152798197
"49","Mix",20406,"1110",1602.5,0.0785308242673723
"50","Mix",20406,"1111",696,0.0341076154072332
"51","Mix",20406,NA,32,0.00156816622561992
