CD,CB_total_over_grand_total
101,0.006294426000000001
102,0.011995097999999997
103,0.02473970733333333
104,0.011592940666666664
105,0.006841679999999999
106,0.025309105999999994
107,0.03555255033333332
108,0.041877437333333344
109,0.009464946
110,0.009031243000000001
111,0.012446215999999996
112,0.023328118
201,0.004818347333333334
202,0.002323187333333333
203,0.003580379666666666
204,0.007302721666666668
205,0.0043067466666666665
206,0.003794435
207,0.008455976666666669
208,0.021285512999999995
209,0.011799693
210,0.017938274666666667
211,0.01506266733333333
212,0.012299683666666667
301,0.01653251533333333
302,0.010507196999999998
303,0.008346234
304,0.005744900666666666
305,0.01414654833333333
306,0.009686004666666666
307,0.010339318333333333
308,0.005869037
309,0.008133051666666669
310,0.023963855333333336
311,0.036865919
312,0.03241176666666667
313,0.044373458
314,0.02383485
315,0.039206982333333334
316,0.004611420333333334
317,0.011492547666666667
318,0.02189960166666666
401,0.020406345666666666
402,0.01114798966666667
403,0.014920727999999996
404,0.012617639000000002
405,0.021541099000000005
406,0.027827835333333332
407,0.04355941933333333
408,0.023186055666666667
409,0.011901183999999997
410,0.013558149333333333
411,0.02245404566666667
412,0.01685431633333333
413,0.022225546999999995
414,0.018672631999999998
501,0.01736600433333333
502,0.020776082666666664
503,0.02157862466666667
