type,type_ratio_over_whole_NYC,type_ratio_max_among_CD,type_ratio_min_among_CD
0,0.037997327600254344,0.002412899236072718,0.00012230105931164181
1,0.0471874135862828,0.0037040774152816472,0.00013829681185712
2,0.02448920491620322,0.0017604255540760684,8.746100169464002e-05
3,0.024884604830656465,0.0016068560015801488,6.966867257572489e-05
4,0.06943933412819804,0.005824792852815907,3.7825256126880003e-06
5,0.19410920625676678,0.014437697917563682,5.210448954007222e-06
6,0.05819664402378487,0.004586285399716002,3.869483390151111e-06
7,0.11863883724372909,0.010142295082049693,3.869483390151111e-06
8,0.056822179733369046,0.0033548146666899695,0.00013906016671338402
9,0.12111319797972926,0.007400399103023063,0.0002644869152051187
10,0.027516976291190966,0.0015487842127660685,5.2747372758066e-05
11,0.04178496486860825,0.0031022803551938993,0.0001043992922491789
12,0.03192211868779046,0.006077900330112671,7.740963189305111e-06
13,0.08679904376703891,0.01178995890820203,1.4224790858464444e-05
14,0.02033146198428679,0.0036182018700388653,3.870481981850445e-06
15,0.03876999979287039,0.006970958918793878,3.78252575526e-06
